"school","sex","age","address","famsize","Pstatus","Medu","Fedu","Mjob","Fjob","reason","guardian","traveltime","studytime","failures","schoolsup","famsup","paid","activities","nursery","higher","internet","romantic","famrel","freetime","goout","Dalc","Walc","health","absences","G1","G2","G3","M1","M2","M3","M4","M5","M1_ratio","M2_ratio","M3_ratio","M4_ratio","M5_ratio"
"GP","F",18,"R","LE3","T",1,1,"at_home","other","reputation","mother",2,4,0,"no","yes","yes","yes","yes","yes","no","no",5,2,2,1,1,3,1,12,12,12,-9443.3615,-9431.73279999999,-9649.1182,-9649.93350000002,-9664.8144,0.245949061104501,0.245571820445587,0.252661902855414,0.252688646015226,0.253176964325541
"GP","M",15,"R","GT3","T",4,4,"other","other","home","father",4,4,0,"no","yes","yes","yes","yes","yes","yes","yes",1,3,5,3,5,1,6,10,13,13,-9665.94739999999,-9645.75229999999,-9455.99210000001,-9459.80079999999,-9459.22219999998,0.254228098510184,0.253562256738378,0.247340134639935,0.247464412115506,0.247445530863826
"GP","F",16,"U","GT3","T",3,3,"other","other","home","father",1,2,0,"no","yes","yes","no","yes","yes","no","no",4,3,2,1,2,5,4,6,10,10,-9598.78170000001,-9603.4599,-9526.82770000001,-9523.862,-9524.9925,0.251414284659896,0.251567642839904,0.249060253726952,0.248963418572195,0.249000329551215
"GP","M",17,"U","LE3","T",4,4,"services","other","home","mother",1,2,0,"no","yes","yes","no","yes","yes","yes","yes",5,3,5,4,5,3,13,12,12,13,-9596.28369999997,-9573.25260000002,-9507.93509999998,-9505.93529999999,-9466.72610000002,0.252176427009586,0.25141903826459,0.249276016415802,0.249210520158407,0.247927749725905
"GP","M",18,"U","GT3","T",4,3,"teacher","other","course","mother",1,3,0,"no","yes","yes","no","yes","yes","yes","yes",5,4,5,2,3,5,0,10,10,9,-9968.3342,-9976.20669999998,-10550.1966,-10527.552,-10412.4728,0.240395294621482,0.24063083133557,0.258048395998982,0.257351990585385,0.253824760317194
"MS","F",18,"U","LE3","T",1,1,"at_home","services","course","father",2,3,0,"no","no","no","no","yes","yes","yes","no",5,3,2,1,1,4,0,18,16,16,-12011.7412,-11987.7511,-12351.365,-12302.9222,-12455.1592,0.244652277759846,0.24404440702081,0.253321977750505,0.252077983049488,0.255995717660536
"GP","M",18,"U","GT3","T",2,1,"other","other","home","mother",1,2,0,"no","no","no","yes","yes","yes","yes","no",5,2,4,1,2,4,8,15,14,14,-10109.7883,-10080.1473,-10328.2863,-10295.2221,-10248.6223,0.246867544218175,0.24596572210296,0.253555803070572,0.252539098918038,0.251108980168397
"GP","F",19,"U","LE3","T",3,2,"services","other","reputation","other",2,2,1,"no","yes","yes","no","no","yes","yes","yes",4,2,2,1,2,1,22,13,10,11,-9565.81860000004,-9509.66909999998,-9585.83090000002,-9546.83269999999,-9465.92219999998,0.251016967979818,0.249176405331246,0.251674276512827,0.250394009628937,0.247746145205407
"GP","F",18,"U","LE3","T",4,3,"other","other","home","other",2,2,0,"no","yes","yes","no","yes","yes","yes","yes",4,4,5,1,2,2,10,10,8,8,-10853.9516,-10893.8938,-11180.4647,-11183.9947,-11283.1366,0.243681826735845,0.244798088774782,0.252866009086916,0.252966042389199,0.255782069224367
"MS","M",18,"R","GT3","T",4,2,"other","other","home","father",2,1,1,"no","no","yes","no","yes","yes","no","no",5,4,3,4,3,3,14,6,5,5,-11825.596,-12040.384,-11607.5559,-11715.4245,-11974.9338,0.249810332218491,0.255506942265095,0.244080101936696,0.246908373949097,0.253765577764243
"GP","F",18,"R","GT3","T",1,1,"at_home","other","course","mother",3,1,3,"no","yes","no","yes","no","yes","no","no",5,2,5,1,5,4,6,9,8,10,-12234.2868,-11763.8232,-13198.1944,-12715.356,-12698.1771,0.242861599128881,0.231361756903726,0.267106972607434,0.254844937109929,0.254413036918323
"GP","F",18,"U","GT3","T",4,3,"other","other","reputation","father",1,4,0,"no","yes","yes","no","yes","yes","yes","no",4,3,3,1,1,3,0,14,13,14,-10265.9033,-10246.3321,-9716.61319999999,-9734.48979999999,-9801.76020000003,0.259901580830432,0.25927762952824,0.242621240302885,0.243176161737515,0.245268803669316
"MS","F",20,"U","GT3","T",4,2,"health","other","course","other",2,3,2,"no","yes","yes","no","no","yes","yes","yes",5,4,3,1,1,3,4,15,14,15,-16558.6936,-16039.1307,-14559.4884,-14284.5252,-14420.0722,0.279220834505663,0.268110757488476,0.237502662965761,0.231976808095986,0.234694675368752
"GP","F",15,"U","GT3","T",4,4,"services","at_home","course","mother",1,3,0,"no","yes","no","yes","yes","yes","yes","yes",4,3,3,1,1,5,0,11,0,0,-24073.9933,-24190.2772,-26692.657,-26616.4803,-26147.0824,0.232270207098528,0.233654278292657,0.264210922421328,0.26325840415554,0.257420549003181
"GP","F",17,"U","GT3","T",4,3,"health","services","reputation","mother",1,3,0,"no","yes","yes","no","yes","yes","yes","no",4,2,2,1,2,3,0,15,15,15,-11022.6173,-11000.3713,-10328.5513,-10344.7975,-10462.4402,0.261595200453043,0.260929486321688,0.241150985933502,0.241621953292774,0.245043037344931
"GP","F",17,"U","GT3","T",3,1,"services","services","course","father",1,3,0,"no","yes","no","no","no","yes","yes","no",3,4,3,2,3,5,1,12,14,15,-10994.358,-10970.091,-10601.9586,-10603.8665,-10702.2598,0.256409181809434,0.255698516412454,0.245015429688543,0.24507032772634,0.247908080806001
"MS","F",18,"U","GT3","T",1,1,"other","other","course","mother",2,2,1,"no","no","no","yes","yes","yes","no","no",1,1,1,1,1,5,0,6,5,0,-19089.8911,-19463.7633,-17598.5843999999,-17884.4948,-17671.2745999999,0.262880557391924,0.269416108188848,0.237467564820008,0.242260141468694,0.23868252610215
"MS","F",17,"U","GT3","T",2,2,"other","at_home","home","mother",1,3,0,"no","no","no","yes","yes","yes","no","yes",3,4,3,1,1,3,8,13,11,11,-9409.6374,-9408.00790000001,-9413.26990000002,-9410.00000000004,-9411.82889999997,0.249969734830627,0.24991562831034,0.250090366565217,0.249981775372217,0.250042509593389
"MS","F",18,"R","LE3","T",4,4,"teacher","services","course","mother",1,2,0,"no","no","yes","yes","yes","yes","yes","no",5,4,3,3,4,2,4,8,9,10,-9598.78170000001,-9603.4599,-9808.79039999999,-9809.89210000001,-9781.54140000003,0.246099362030004,0.24624884025248,0.25284509329718,0.252880673804435,0.251965702176575
"GP","M",17,"U","GT3","T",4,4,"services","teacher","home","mother",1,1,0,"no","no","no","no","yes","yes","yes","no",5,2,3,1,2,5,4,17,15,16,-11871.8822,-11837.7011,-11551.6057,-11515.5122,-11591.7265,0.255328263042681,0.254406108930179,0.246740492124819,0.245780056099176,0.247809832729291
"GP","F",15,"U","GT3","T",4,2,"health","services","home","mother",1,3,0,"no","yes","yes","yes","yes","yes","yes","yes",3,2,2,1,1,5,2,15,14,15,-10966.5078,-10940.2698,-10328.5513,-10344.7975,-10420.96,0.260892535746748,0.260105977115053,0.242042130278779,0.242515178107769,0.244737648312853
"GP","F",18,"R","GT3","T",3,1,"other","other","reputation","mother",1,2,1,"no","no","no","yes","yes","yes","yes","yes",5,3,3,1,1,4,16,9,8,7,-10203.7199,-10328.2694,-10190.8083,-10276.5971,-10468.3601,0.247278772537098,0.251054900166545,0.246888618565813,0.249485512760909,0.255329625634693
"GP","F",17,"R","LE3","T",4,4,"services","other","other","mother",1,1,0,"no","yes","yes","no","yes","yes","no","no",5,2,1,1,2,3,12,8,10,10,-9689.85800000001,-9705.10440000001,-9590.58169999999,-9592.17190000001,-9656.46599999999,0.251395198940316,0.251890390441115,0.248180335826524,0.248231701072921,0.250312019508879
"GP","F",18,"U","GT3","T",2,1,"other","other","course","other",2,3,0,"no","yes","yes","no","no","yes","yes","yes",4,4,4,1,1,3,0,7,0,0,-24073.9933,-24190.2772,-24518.3378999999,-24574.4027,-24196.3896,0.246964912304134,0.248454202478416,0.252675035111122,0.253399222582193,0.248532584624509
"GP","M",15,"U","LE3","T",4,2,"teacher","other","course","mother",1,1,0,"no","no","no","no","yes","yes","yes","no",3,5,2,1,1,3,10,18,19,19,-15816.6226,-15750.989,-15628.0508,-15567.6958,-15408.1223,0.253655017951697,0.252336830766543,0.249875180733813,0.248670202202647,0.24549550473225
"GP","M",18,"U","GT3","T",4,3,"teacher","other","course","mother",1,2,0,"no","yes","yes","no","no","yes","yes","no",4,3,2,1,1,3,2,8,8,8,-10652.3439,-10672.8992,-11180.4647,-11183.9947,-11075.3809,0.241479990151144,0.24205875471236,0.2565231733919,0.256624949803056,0.253500945674785
"GP","M",16,"R","GT3","T",4,4,"teacher","teacher","course","mother",1,1,0,"no","no","yes","yes","yes","yes","yes","no",3,5,5,2,5,4,8,18,18,18,-14296.9337,-14243.0591,-14035.015,-13982.6749,-13926.8071,0.254450178871546,0.25324852022301,0.248629682556409,0.247473022322332,0.24624076580139
"GP","F",15,"U","LE3","T",1,1,"at_home","other","other","mother",1,2,3,"yes","no","yes","no","yes","yes","yes","no",4,3,2,2,3,3,10,7,8,10,-12093.7116,-11626.5554,-12280.1573,-11866.7659,-11776.2803,0.254338021469967,0.242134576446373,0.259275723557279,0.248379749071266,0.246019878141919
"GP","M",19,"U","LE3","A",4,3,"services","at_home","reputation","mother",1,2,0,"no","yes","no","no","yes","yes","yes","no",4,3,1,1,1,1,12,11,11,11,-9429.17659999998,-9430.81239999999,-9474.28080000001,-9474.278,-9515.73590000001,0.248823062436997,0.248876972113135,0.250311230491346,0.250311137998059,0.251682131520534
"GP","M",17,"U","GT3","T",3,3,"services","services","other","mother",1,2,0,"no","yes","no","yes","yes","yes","yes","yes",4,3,4,2,3,4,12,12,12,11,-9429.17659999998,-9430.81239999999,-9399.68339999999,-9403.07890000004,-9433.5417,0.250329133238348,0.250383434640151,0.249350896532615,0.249463441219253,0.250474045957444
"GP","F",16,"U","GT3","A",3,3,"other","other","course","other",2,1,2,"no","yes","no","yes","no","yes","yes","yes",4,3,2,1,1,5,0,4,0,0,-15159.6516999999,-15669.1396,-16040.2194,-16532.9884,-16151.2835,0.235421601300012,0.24527431791642,0.252549925823764,0.262343878426389,0.254744073203837
"GP","F",15,"R","GT3","T",2,2,"at_home","other","reputation","mother",1,1,0,"yes","yes","yes","yes","yes","yes","no","no",4,3,1,1,1,2,8,14,13,13,-9644.0051,-9622.7601,-10189.4964,-10162.9159,-10096.7217,0.240667563053877,0.240010144279274,0.257789621068174,0.256944357974636,0.254844303620387
"MS","M",18,"R","LE3","T",1,2,"at_home","services","other","father",3,1,0,"no","yes","yes","yes","yes","no","yes","yes",4,3,3,2,3,3,3,14,12,12,-9431.96600000003,-10113.2334,-9654.91660000001,-10380.1606,-10462.4335,0.232252971695735,0.25327738392324,0.23905531259092,0.261711885162602,0.264334522108923
"GP","M",15,"R","GT3","T",4,3,"teacher","at_home","course","mother",1,2,0,"no","yes","no","yes","yes","yes","yes","yes",4,5,2,1,1,5,0,17,16,16,-12011.7412,-11987.7511,-11315.0773,-11310.6124,-11485.7416,0.260562998618388,0.259907340502216,0.241796616465937,0.241678145080369,0.246342021785567
"GP","M",15,"U","GT3","T",4,4,"services","other","course","mother",1,1,0,"no","yes","no","yes","no","yes","yes","no",5,3,3,1,1,5,4,10,13,14,-10184.5786,-10159.5996,-10005.0887,-9985.52179999997,-10026.7223,0.25349318605519,0.252714342333484,0.247918128758406,0.247313366132958,0.248587450763069
"MS","M",20,"U","LE3","A",2,2,"services","services","course","other",1,2,2,"no","yes","yes","no","yes","yes","no","no",5,5,4,4,5,4,11,9,9,9,-9718.30589999999,-9606.75509999998,-9955.9641,-9849.74989999998,-9780.80590000002,0.24795850563649,0.244416681780586,0.255571979545707,0.252157915997332,0.249951755363905
"MS","F",17,"R","GT3","T",4,4,"teacher","services","other","father",2,2,0,"no","yes","yes","yes","yes","yes","yes","no",4,3,3,1,2,5,4,12,13,13,-9689.5262,-9670.55990000002,-9507.93509999998,-9505.93529999999,-9522.76200000001,0.253604769592033,0.252982780749516,0.247674822120046,0.247609829955227,0.248156897764764
"GP","F",17,"U","GT3","T",4,4,"teacher","services","course","mother",1,3,0,"no","yes","yes","yes","yes","yes","yes","no",5,4,4,1,3,4,7,10,9,9,-10086.383,-10106.2193,-10550.1966,-10527.552,-10551.7408,0.241672738146172,0.242263165518745,0.255626657667096,0.254938112314156,0.255673639062758
"GP","M",17,"R","LE3","T",1,2,"other","other","reputation","mother",1,1,0,"no","no","no","no","yes","yes","no","no",2,2,2,3,3,5,8,16,12,13,-9644.0051,-9622.7601,-10456.5349,-10409.8986,-10325.6506,0.236286706197938,0.235643527294479,0.261398247997371,0.259929371882395,0.257284515923721
"GP","M",15,"U","GT3","T",4,3,"teacher","other","home","mother",1,2,0,"no","yes","yes","yes","yes","yes","yes","no",4,3,3,2,3,5,6,9,9,10,-9619.10439999998,-9626.1373,-9808.79039999999,-9809.89210000001,-9806.27109999999,0.246321016348355,0.246545512764068,0.252404420922003,0.25243992692265,0.252323235541922
"GP","F",18,"U","GT3","T",2,2,"at_home","services","home","mother",1,3,0,"no","yes","yes","yes","yes","yes","yes","yes",4,3,3,1,1,3,0,9,10,0,-24073.9933,-24190.2772,-24518.3378999999,-24574.4027,-24196.3896,0.246964912304134,0.248454202478416,0.252675035111122,0.253399222582193,0.248532584624509
"GP","M",16,"U","GT3","T",3,2,"other","other","home","mother",1,1,0,"no","yes","yes","no","no","yes","yes","no",5,4,3,1,1,5,0,12,14,15,-11022.6173,-11000.3713,-10976.9719,-10926.264,-11084.0454,0.250584349208942,0.249952207342736,0.2492879797466,0.247850978533691,0.252333213841312
"GP","F",17,"R","GT3","T",2,1,"at_home","services","reputation","mother",2,2,0,"no","yes","no","yes","yes","yes","yes","no",4,2,5,1,2,5,2,6,6,6,-12654.1927,-12696.5495,-12464.5498,-12528.5639,-12412.4944,0.252567819554342,0.253627647275816,0.247844572595885,0.249434920349187,0.246554304951441
"GP","F",16,"U","GT3","T",4,4,"health","other","home","mother",1,1,0,"no","yes","no","no","yes","yes","yes","no",4,4,4,1,2,2,4,14,14,14,-10184.5786,-10159.5996,-10005.0887,-9985.52179999997,-10026.7223,0.25349318605519,0.252714342333484,0.247918128758406,0.247313366132958,0.248587450763069
"GP","F",17,"U","GT3","T",2,2,"at_home","at_home","course","mother",1,3,0,"no","yes","yes","yes","yes","yes","yes","no",4,3,3,1,1,4,4,9,10,10,-9598.78170000001,-9603.4599,-9599.22079999999,-9605.20000000002,-9595.90570000002,0.249943627954352,0.250095909779488,0.249957919683735,0.250152561888741,0.249850028624201
"GP","M",22,"U","GT3","T",3,1,"services","services","other","mother",1,1,3,"no","no","no","no","no","no","yes","yes",5,4,5,5,5,1,16,6,8,8,-10235.1797,-11167.2811,-10103.8263,-10815.2456,-10694.077,0.23924910759429,0.266851305024402,0.235455753628733,0.256283229556307,0.252686429761558
"GP","F",17,"U","LE3","T",0,2,"at_home","at_home","home","father",2,3,0,"no","no","no","no","yes","yes","yes","no",3,3,3,2,3,2,0,16,15,15,-11022.6173,-11000.3713,-11707.9433,-11642.9941,-11762.0713,0.239032950956968,0.238435505351114,0.257724957798103,0.255929335964349,0.25922533791764
"GP","M",16,"U","GT3","T",3,3,"other","services","home","father",2,1,0,"no","no","no","yes","yes","yes","yes","no",5,4,2,1,1,5,0,13,14,13,-9741.5904,-9725.63660000002,-9714.30910000003,-9691.2694,-9766.63879999999,0.250440305139816,0.249927652286775,0.249563914167215,0.248824737613058,0.251246049117808
"MS","M",17,"U","GT3","T",2,3,"other","services","home","father",2,2,0,"no","no","no","yes","yes","yes","yes","no",4,4,3,1,1,3,2,11,11,10,-9580.09719999999,-9582.5989,-9522.6414,-9537.54579999999,-9512.8742,0.251079318892038,0.251161352077414,0.249198243217857,0.249685662640589,0.24887903210588
"GP","M",15,"U","GT3","T",2,3,"other","other","home","mother",1,3,0,"yes","no","yes","no","no","yes","yes","no",5,3,2,1,2,5,4,11,10,11,-9396.63100000001,-9392.4881,-9395.53309999999,-9396.88769999998,-9394.28880000003,0.250048739066082,0.249910943254469,0.250012219169452,0.250057278090939,0.249970832089295
"MS","F",17,"R","GT3","T",3,1,"at_home","other","reputation","mother",1,2,0,"no","yes","yes","yes","no","yes","yes","no",4,5,4,2,3,1,17,10,10,10,-9760.05620000001,-9783.41380000001,-9641.90030000003,-9651.89420000002,-9790.72970000001,0.251108155004261,0.251860457733249,0.247316397604019,0.247636223223976,0.252096274700294
"GP","M",17,"U","GT3","T",3,3,"health","other","home","mother",1,1,0,"no","yes","yes","no","yes","yes","yes","no",4,4,3,1,3,5,4,14,12,11,-9396.63100000001,-9392.4881,-9388.54180000002,-9393.44829999998,-9389.7613,0.250148309271642,0.25001044761512,0.249879156412257,0.250042397106501,0.249919725553378
"GP","M",16,"U","GT3","T",4,4,"teacher","teacher","course","mother",1,1,0,"no","yes","no","no","yes","no","yes","yes",3,3,2,2,1,5,0,7,6,0,-24073.9933,-20336.7769,-25412.3153,-22224.6143,-21603.0268,0.268752748767631,0.217939300237337,0.287996065722456,0.243088257182735,0.234693825559344
"GP","F",15,"U","GT3","A",4,3,"services","services","reputation","mother",1,2,0,"no","yes","yes","yes","yes","yes","yes","no",4,3,2,1,1,1,0,14,15,15,-11022.6173,-11000.3713,-10478.4763,-10474.7588,-10608.6521,0.258976325234245,0.258318640293208,0.243084006587003,0.242976812148294,0.246849331715481
"GP","F",16,"U","GT3","T",4,3,"other","at_home","course","mother",1,3,0,"yes","yes","yes","no","yes","yes","yes","no",5,3,5,1,1,3,0,7,9,8,-10606.026,-10622.1993,-11406.9193,-11378.0398,-11223.8999,0.237637788660727,0.238086443571467,0.260252711802477,0.259422883688221,0.255012220838082
"MS","M",18,"R","GT3","T",1,3,"at_home","other","course","mother",2,2,0,"no","yes","yes","no","yes","yes","no","no",3,3,4,2,4,3,4,10,10,10,-9598.78170000001,-9603.4599,-9417.19070000001,-9419.5744,-9420.4696,0.253528938161636,0.253683847727834,0.247545344646695,0.247623519765176,0.24765288100964
"GP","F",16,"U","GT3","T",3,3,"other","other","home","mother",1,3,0,"no","yes","yes","no","yes","yes","yes","yes",4,3,3,1,3,4,0,7,7,8,-10606.026,-10622.1993,-11034.2769,-11029.5399,-10899.3854,0.243338953754964,0.243800492660552,0.255676678061317,0.255538868045243,0.251764178155966
"GP","M",18,"U","GT3","T",4,2,"health","other","reputation","father",1,2,0,"no","yes","yes","yes","yes","yes","yes","yes",5,4,5,1,3,5,10,10,9,10,-9664.64229999998,-9676.96239999997,-9808.79039999999,-9809.89210000001,-9860.08550000001,0.246825744310467,0.247218173527409,0.251432775132528,0.251468117006485,0.253080411070482
"GP","M",16,"U","GT3","T",4,3,"teacher","other","home","mother",1,2,0,"no","yes","yes","yes","yes","yes","yes","no",3,4,3,2,3,3,10,9,8,8,-10853.9516,-10893.8938,-11180.4647,-11183.9947,-11283.1366,0.243681826735845,0.244798088774782,0.252866009086916,0.252966042389199,0.255782069224367
"GP","F",15,"U","GT3","T",4,4,"services","services","course","mother",1,1,0,"yes","yes","yes","no","yes","yes","yes","no",3,3,4,2,3,5,0,8,10,11,-9390.16140000001,-9384.2477,-9441.97429999999,-9447.74210000004,-9423.04649999999,0.249095651101841,0.248899730570766,0.250814841649775,0.251006514314927,0.250186254822244
"GP","F",17,"U","GT3","T",1,1,"services","teacher","reputation","mother",1,3,0,"no","yes","yes","no","yes","yes","yes","no",4,3,3,1,1,3,6,13,12,12,-9417.93320000002,-9405.87939999999,-9517.8536,-9508.86600000001,-9498.98170000001,0.248287390775677,0.247890839239451,0.251584348255527,0.251287082217216,0.250960320711158
"GP","F",16,"U","GT3","T",4,3,"teacher","other","other","mother",1,2,0,"no","no","yes","yes","yes","yes","yes","yes",1,3,2,1,1,1,10,11,12,13,-9623.68520000002,-9601.59680000002,-9507.93509999998,-9505.93529999999,-9482.13630000004,0.252606051716613,0.251880230962727,0.248811847280527,0.248746497265154,0.247969311683803
"GP","M",16,"U","GT3","T",2,1,"other","other","course","mother",3,1,0,"no","no","no","no","yes","yes","yes","no",4,3,3,1,1,4,6,18,18,18,-14392.0457000001,-14345.1931,-15267.8711,-15132.8822,-15124.5359,0.240386333082873,0.239416408021845,0.258800913545104,0.255927157946885,0.255749905651599
"GP","F",16,"U","GT3","T",4,2,"services","other","course","mother",1,2,0,"no","yes","no","no","yes","yes","yes","no",4,2,3,1,1,5,2,15,16,16,-11940.9955,-11911.8156,-11315.0773,-11310.6124,-11428.1065,0.259781063112054,0.258981835980356,0.242856959194085,0.242737866725966,0.245879413132878
"GP","F",17,"U","GT3","T",2,2,"other","other","course","mother",1,2,0,"no","yes","no","no","no","yes","yes","no",5,4,5,1,2,5,4,10,9,11,-9396.63100000001,-9392.4881,-9372.7191,-9375.52729999998,-9374.4263,0.250475562402495,0.250337484274795,0.249679025768796,0.249772517987238,0.249735861191431
